name,category,price,description,isVeg,isAvailable,variants,addOns
Plain Omelette,Breakfast,120,Two egg plain omelette,False,True,"Single,Double",Cheese:30
Masala Omelette,Breakfast,150,Spicy masala omelette,False,True,"Single,Double",Cheese:30
Boiled Eggs,Breakfast,80,Boiled eggs served with salt,False,True,"2 Eggs,4 Eggs",Extra Egg:20
Aloo Paratha,Breakfast,140,Stuffed aloo paratha with butter,True,True,"Single,Double","Butter:20,Curd:30"
Paneer Paratha,Breakfast,170,Paneer stuffed paratha,True,True,"Single,Double","Butter:20,Curd:30"
Poha,Breakfast,120,Light poha with peanuts,True,True,"Regular,Jain",Extra Lemon:10
Pancakes,Breakfast,220,Pancakes served with syrup,True,True,"2 pcs,4 pcs","Honey:30,Chocolate Syrup:40"
Tomato Soup,Soups,160,Creamy tomato soup,True,True,"Cup,Bowl",Croutons:20
Veg Clear Soup,Soups,150,Light vegetable soup,True,True,"Cup,Bowl",Extra Veg:30
Chicken Soup,Soups,190,Hot chicken soup,False,True,"Cup,Bowl",Extra Chicken:50
Veg Pakora,Starters,180,Crispy mixed veg pakora,True,True,"Half,Full",Extra Chutney:20
Paneer Tikka,Starters,280,Tandoori paneer tikka,True,True,"Half,Full",Extra Paneer:80
Mushroom Chilli,Starters,260,Spicy chilli mushroom,True,True,"Half,Full",Extra Sauce:30
Chicken Pakora,Starters,260,Crispy chicken pakora,False,True,"Half,Full",Extra Chicken:90
Chicken Tikka,Starters,320,Smoky chicken tikka,False,True,"Half,Full",Extra Chicken:100
Chicken Chilli,Starters,300,Spicy chilli chicken,False,True,"Half,Full",Extra Sauce:30
Dal Tadka,Main Course,240,Yellow dal with tadka,True,True,"Half,Full",Extra Ghee:30
Dal Makhani,Main Course,280,Creamy black dal,True,True,"Half,Full",Extra Butter:40
Shahi Paneer,Main Course,320,Rich paneer gravy,True,True,"Half,Full",Extra Paneer:90
Mix Veg,Main Course,260,Seasonal vegetable curry,True,True,"Half,Full",Extra Veg:50
Chicken Curry,Main Course,340,Traditional chicken curry,False,True,"Half,Full",Extra Chicken:120
Butter Chicken,Main Course,380,Creamy butter chicken,False,True,"Half,Full",Extra Chicken:120
Mutton Curry,Main Course,420,Slow cooked mutton curry,False,True,"Half,Full",Extra Mutton:150
Plain Rice,Rice,120,Steamed basmati rice,True,True,"Half,Full",Extra Rice:60
Jeera Rice,Rice,160,Jeera flavored rice,True,True,"Half,Full",Extra Rice:60
Veg Biryani,Biryani,320,Aromatic veg biryani,True,True,"Half,Full",Extra Raita:40
Chicken Biryani,Biryani,380,Hyderabadi chicken biryani,False,True,"Half,Full","Extra Raita:40,Extra Chicken:120"
Mutton Biryani,Biryani,460,Slow cooked mutton biryani,False,True,"Half,Full",Extra Raita:40
Tandoori Roti,Breads,30,Clay oven roti,True,True,Single,Butter:10
Butter Roti,Breads,40,Roti with butter,True,True,Single,Extra Butter:10
Plain Naan,Breads,70,Soft naan,True,True,Single,Butter:10
Butter Naan,Breads,90,Naan with butter,True,True,Single,Extra Butter:10
Garlic Naan,Breads,110,Garlic flavoured naan,True,True,Single,Extra Garlic:20
Tea,Beverages,50,Hot masala tea,True,True,"Small,Large",Extra Sugar:10
Coffee,Beverages,70,Hot coffee,True,True,"Small,Large",Extra Milk:20
Cold Coffee,Beverages,160,Cold coffee with ice cream,True,True,"Regular,Large",Extra Ice Cream:40
Fresh Lime Soda,Beverages,120,Refreshing lime soda,True,True,"Sweet,Salted",Mint:20
Soft Drink,Beverages,80,Chilled soft drink,True,True,"Can,Bottle",Ice:10
Gulab Jamun,Desserts,120,Soft gulab jamun,True,True,"2 pcs,4 pcs",Extra Piece:30
Ice Cream,Desserts,150,Vanilla ice cream scoop,True,True,"Single Scoop,Double Scoop",Chocolate Syrup:30
Brownie,Desserts,220,Chocolate brownie,True,True,Single,Ice Cream:50
