"sequence","name","category","price","description","isVeg","isAvailable","variants","addOns","imageUrl"
"1","Masala Omelette","Breakfast","80","Spiced egg omelette with onions and tomatoes","false","true","","Extra Toast:20","" 
"2","Aloo Paratha","Breakfast","70","Stuffed potato flatbread served with curd","true","true","","Extra Butter:20|Extra Curd:15",""
"3","Poha","Breakfast","50","Flattened rice with peanuts and spices","true","true","","",""
"4","Bread Omelette","Breakfast","90","Egg omelette served with toasted bread","false","true","2 Eggs:90|3 Eggs:120","Extra Butter:15",""
"1","Paneer Tikka","Starters","280","Grilled cottage cheese cubes with spices","true","true","Half:150|Full:280","Extra Sauce:30|Extra Chutney:20",""
"2","Chicken Lollipop","Starters","320","Crispy fried chicken wings","false","true","4pcs:180|8pcs:320","Extra Sauce:30",""
"3","Veg Spring Roll","Starters","180","Crispy rolls stuffed with vegetables","true","true","4pcs:180|6pcs:260","Extra Sauce:20",""
"4","Chicken Tikka","Starters","350","Marinated chicken chunks grilled in tandoor","false","true","Half:200|Full:350","Extra Chutney:20",""
"1","Butter Chicken","Main Course","350","Creamy tomato based chicken curry","false","true","Half:200|Full:350","Extra Gravy:50|Extra Butter:30",""
"2","Dal Makhani","Main Course","220","Slow cooked black lentils in butter and cream","true","true","","Extra Butter:30",""
"3","Palak Paneer","Main Course","260","Cottage cheese in creamy spinach gravy","true","true","","Extra Paneer:60|Extra Gravy:40",""
"4","Mutton Rogan Josh","Main Course","420","Slow cooked mutton in aromatic spices","false","true","Half:240|Full:420","Extra Gravy:50",""
"5","Kadai Chicken","Main Course","380","Chicken cooked with bell peppers and spices","false","true","Half:220|Full:380","Extra Gravy:50",""
"1","Veg Biryani","Rice & Biryani","250","Fragrant basmati rice with mixed vegetables","true","true","Half:140|Full:250","Extra Raita:40|Extra Gravy:50",""
"2","Chicken Biryani","Rice & Biryani","320","Aromatic basmati rice with spiced chicken","false","true","Half:180|Full:320","Extra Raita:40|Extra Gravy:50",""
"3","Mutton Biryani","Rice & Biryani","420","Slow cooked mutton with fragrant rice","false","true","Half:240|Full:420","Extra Raita:40",""
"4","Jeera Rice","Rice & Biryani","120","Basmati rice tempered with cumin","true","true","","",""
"1","Butter Naan","Breads","50","Soft leavened flatbread with butter","true","true","","Extra Butter:10",""
"2","Tandoori Roti","Breads","30","Whole wheat bread from tandoor","true","true","","",""
"3","Garlic Naan","Breads","60","Naan topped with garlic and herbs","true","true","","Extra Butter:10",""
"4","Paratha","Breads","40","Whole wheat flatbread","true","true","Plain:40|Stuffed Aloo:70|Stuffed Paneer:80","Extra Butter:15",""
"1","Fresh Lime Soda","Beverages","60","Sweet or salted lime soda","true","true","Sweet:60|Salted:60|Mixed:60","","" 
"2","Masala Chai","Beverages","30","Indian spiced tea with ginger","true","true","Regular:30|Extra Strong:40","","" 
"3","Cold Coffee","Beverages","120","Chilled coffee with ice cream","true","true","Regular:120|With Extra Scoop:150","","" 
"4","Mango Lassi","Beverages","90","Chilled mango yogurt drink","true","true","Regular:90|Large:130","","" 
"5","Mineral Water","Beverages","30","500ml chilled mineral water","true","true","500ml:30|1L:50","",""
"1","Gulab Jamun","Desserts","80","Soft milk dumplings soaked in sugar syrup","true","true","2pcs:80|4pcs:150","Extra Syrup:10",""
"2","Ice Cream","Desserts","100","Scoops of ice cream","true","true","Single Scoop:60|Double Scoop:100|Triple Scoop:140","Extra Sauce:20",""
"3","Rasgulla","Desserts","80","Soft spongy balls in sugar syrup","true","true","2pcs:80|4pcs:150","",""
"4","Kheer","Desserts","90","Creamy rice pudding with nuts","true","true","","",""
