sequence,name,category,price,description,isVeg,isAvailable,variants,addOns
4,"Aloo Paratha","Breakfast",140.00,"Stuffed aloo paratha with butter",True,True,"",""
3,"Boiled Eggs","Breakfast",80.00,"Boiled eggs served with salt",False,True,"",""
41,"Brownie","Desserts",220.00,"Chocolate brownie",True,True,"",""
22,"Butter Chicken","Main Course",380.00,"Creamy butter chicken",False,True,"",""
32,"Butter Naan","Breads",90.00,"Naan with butter",True,True,"",""
30,"Butter Roti","Breads",40.00,"Roti with butter",True,True,"",""
27,"Chicken Biryani","Biryani",380.00,"Hyderabadi chicken biryani",False,True,"",""
16,"Chicken Chilli","Starters",300.00,"Spicy chilli chicken",False,True,"",""
21,"Chicken Curry","Main Course",340.00,"Traditional chicken curry",False,True,"",""
14,"Chicken Pakora","Starters",260.00,"Crispy chicken pakora",False,True,"",""
10,"Chicken Soup","Soups",190.00,"Hot chicken soup",False,True,"",""
15,"Chicken Tikka","Starters",320.00,"Smoky chicken tikka",False,True,"",""
35,"Coffee","Beverages",70.00,"Hot coffee",True,True,"",""
36,"Cold Coffee","Beverages",160.00,"Cold coffee with ice cream",True,True,"",""
18,"Dal Makhani","Main Course",280.00,"Creamy black dal",True,True,"",""
17,"Dal Tadka","Main Course",240.00,"Yellow dal with tadka",True,True,"",""
37,"Fresh Lime Soda","Beverages",120.00,"Refreshing lime soda",True,True,"",""
33,"Garlic Naan","Breads",110.00,"Garlic flavoured naan",True,True,"",""
39,"Gulab Jamun","Desserts",120.00,"Soft gulab jamun",True,True,"",""
40,"Ice Cream","Desserts",150.00,"Vanilla ice cream scoop",True,True,"",""
25,"Jeera Rice","Rice",160.00,"Jeera flavored rice",True,True,"",""
2,"Masala Omelette","Breakfast",150.00,"Spicy masala omelette",False,True,"",""
20,"Mix Veg","Main Course",260.00,"Seasonal vegetable curry",True,True,"",""
13,"Mushroom Chilli","Starters",260.00,"Spicy chilli mushroom",True,True,"",""
28,"Mutton Biryani","Biryani",460.00,"Slow cooked mutton biryani",False,True,"",""
23,"Mutton Curry","Main Course",420.00,"Slow cooked mutton curry",False,True,"",""
7,"Pancakes","Breakfast",220.00,"Pancakes served with syrup",True,True,"",""
5,"Paneer Paratha","Breakfast",170.00,"Paneer stuffed paratha",True,True,"",""
12,"Paneer Tikka","Starters",280.00,"Tandoori paneer tikka",True,True,"",""
31,"Plain Naan","Breads",70.00,"Soft naan",True,True,"",""
1,"Plain Omelette","Breakfast",120.00,"Two egg plain omelette",False,True,"",""
24,"Plain Rice","Rice",120.00,"Steamed basmati rice",True,True,"",""
6,"Poha","Breakfast",120.00,"Light poha with peanuts",True,True,"",""
19,"Shahi Paneer","Main Course",320.00,"Rich paneer gravy",True,True,"",""
38,"Soft Drink","Beverages",80.00,"Chilled soft drink",True,True,"",""
29,"Tandoori Roti","Breads",30.00,"Clay oven roti",True,True,"",""
34,"Tea","Beverages",50.00,"Hot masala tea",True,True,"",""
8,"Tomato Soup","Soups",160.00,"Creamy tomato soup",True,True,"",""
26,"Veg Biryani","Biryani",320.00,"Aromatic veg biryani",True,True,"",""
9,"Veg Clear Soup","Soups",150.00,"Light vegetable soup",True,True,"",""
11,"Veg Pakora","Starters",180.00,"Crispy mixed veg pakora",True,True,"",""
