sequence,name,category,price,description,isVeg,isAvailable,variants,addOns,imageUrl
1,Masala Chai,Beverages,40,Hot Indian spiced tea,true,true,Small:40|Large:60,Extra Ginger:10|Extra Milk:10,
2,Cold Coffee,Beverages,120,Chilled coffee with ice cream,true,true,Regular:120|Large:160,Extra Ice Cream:40,
3,Lemon Soda,Beverages,80,Refreshing lemon soda,true,true,Sweet:80|Salted:80,Extra Lemon:10,
4,Aloo Paratha,Breakfast,120,Stuffed potato flatbread,true,true,Single:120|Double:200,Butter:20|Curd:30,
5,Omelette,Breakfast,100,Fresh egg omelette,false,true,Single:100|Double:160,Cheese:30|Extra Egg:25,
6,Pancakes,Breakfast,180,Fluffy pancakes with maple syrup,true,true,Half:120|Full:180,Chocolate Syrup:30|Honey:25,
7,Maggi Noodles,Snacks,90,Classic masala noodles,true,true,Regular:90|Large:140,Extra Cheese:30|Extra Veg:20,
8,French Fries,Snacks,130,Crispy golden fries,true,true,Regular:130|Large:180,Cheese Dip:30|Peri Peri:20,
9,Veg Momos,Snacks,150,Steamed vegetable dumplings,true,true,Half:90|Full:150,Mayo Dip:20|Extra Chutney:15,
10,Chicken Momos,Snacks,180,Steamed chicken dumplings,false,true,Half:110|Full:180,Mayo Dip:20|Extra Chutney:15,
11,Paneer Butter Masala,Main Course,320,Rich creamy paneer curry,true,true,Half:180|Full:320,Extra Butter:30|Extra Paneer:60,
12,Butter Chicken,Main Course,380,Classic creamy chicken curry,false,true,Half:220|Full:380,Extra Butter:30|Extra Chicken:80,
13,Dal Tadka,Main Course,240,Yellow lentils tempered with spices,true,true,Half:150|Full:240,Extra Ghee:20|Extra Dal:30,
14,Chicken Biryani,Rice & Biryani,350,Fragrant basmati rice with chicken,false,true,Half:220|Full:350,Extra Raita:30|Extra Salan:25,
15,Veg Biryani,Rice & Biryani,260,Vegetable biryani with spices,true,true,Half:160|Full:260,Extra Raita:30|Extra Salan:25,
16,Steamed Rice,Rice & Biryani,120,Plain steamed basmati rice,true,true,Half:80|Full:120,Ghee:15|Jeera Tadka:20,
17,Chocolate Brownie,Desserts,140,Warm chocolate brownie,true,true,Single:140,Ice Cream:40|Whipped Cream:30,
18,Gulab Jamun,Desserts,120,Classic Indian dessert,true,true,2 Pieces:120|4 Pieces:200,Ice Cream:40,
19,Ice Cream Sundae,Desserts,160,Vanilla ice cream sundae,true,true,Regular:160|Large:220,Chocolate Sauce:20|Sprinkles:15,
